,Layers Decomposed,Matrices Decomposed,Rank,Batch Size,Dataset Size,Total Inference Time(s),Benchmark,Parameter Reduction(%),Inference Time Per Batch
45,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,23.89431667327881,truthfulqa,96.06867490673937,0.5883941004578083
46,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,42.56335496902466,truthfulqa,48.03433745336969,1.0481164748047627
47,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,32.00875902175903,truthfulqa,75.05365227089014,0.7882110724865633
48,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,37.72990846633911,truthfulqa,60.042921816712116,0.9290935520760689
49,"[0, 2, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,28.57580852508545,truthfulqa,84.06009054339695,0.7036751618335778
50,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,48.81046676635742,truthfulqa,33.02360699919167,1.2019507014416602
51,"[4, 8, 12, 16, 20, 24, 28]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,53.52059245109558,truthfulqa,21.015022635849245,1.3179368668218996
52,"[2, 17, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,58.61721348762512,truthfulqa,9.006438272506823,1.4434404244740315
53,"[2, 8, 14, 20, 26]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,56.138473987579346,truthfulqa,15.010730454178034,1.382401821933466
54,[],"[1, 1, 1, 1, 1, 1, 1]",1,64,2599,61.93832564353943,truthfulqa,0.0,1.5252223321225562
55,"[2, 8, 14, 20, 26]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,50.2465443611145,winogrande,15.010730454178034,0.1690735456946019
56,"[2, 17, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,51.95574069023132,winogrande,9.006438272506823,0.1748247846569298
57,"[4, 8, 12, 16, 20, 24, 28]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,48.487895488739014,winogrande,21.015022635849245,0.16315590490427428
58,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,40.18375015258789,winogrande,48.03433745336969,0.13521346002973844
59,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,36.377636671066284,winogrande,60.042921816712116,0.1224063484199917
60,"[0, 2, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,29.9544460773468,winogrande,84.06009054339695,0.1007930887986433
61,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,32.36044001579285,winogrande,75.05365227089014,0.10888896745587498
62,[],"[1, 1, 1, 1, 1, 1, 1]",1,64,19020,53.98375988006592,winogrande,0.0,0.18164882399180962
63,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,44.76553392410278,winogrande,33.02360699919167,0.15063060836711767
64,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,26.519697904586792,winogrande,96.06867490673937,0.08923557654540246
65,"[2, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,19020,52.86237859725952,winogrande,6.004292181671211,0.17787551157858095
